"id","date","movementdate","interaction","type","duration"
"55307",2017-04-11,2017-03-29,"Stray","return",0
"55307",2017-04-21,2017-04-15,"Stray","return",0
"55307",2017-04-28,2017-04-22,"Stray","return",0
"55322",2018-03-18,2017-04-10,"Incompatible with owner lifestyle","return",0
"55335",2017-04-25,2017-04-06,"Stray","return",0
"55336",2018-04-08,2017-04-13,"Incompatible with owner lifestyle","return",0
"55338",2017-10-06,2017-04-06,"Incompatible with owner lifestyle","return",0
"55351",2017-04-03,2017-04-03,"Incompatible with owner lifestyle","return",0
"55357",2017-06-10,2017-04-11,"Landlord issues","return",0
"55370",2017-04-15,2017-04-04,"Stray","return",0
"55370",2017-06-01,2017-04-18,"Stray","return",0
"55371",2017-04-15,2017-04-04,"Stray","return",0
"55371",2017-08-25,2017-04-18,"Stray","return",0
"55376",2017-06-06,2017-04-05,"Stray","return",0
"55376",2017-09-29,2017-08-31,"Stray","return",0
"55377",2017-05-30,2017-04-05,"Stray","return",0
"55377",2019-10-29,2017-06-01,"Stray","return",0
"55378",2017-05-30,2017-04-05,"Stray","return",0
"55379",2017-05-30,2017-04-05,"Stray","return",0
"55380",2017-05-30,2017-04-05,"Stray","return",0
"55382",2017-06-05,2017-04-06,"Stray","return",0
"55383",2017-06-05,2017-04-06,"Stray","return",0
"55384",2017-06-05,2017-04-06,"Stray","return",0
"55385",2017-06-05,2017-04-06,"Stray","return",0
"55386",2017-06-05,2017-04-06,"Stray","return",0
"55396",2017-04-11,2017-03-20,"Stray","return",0
"55397",2017-04-11,2017-03-20,"Stray","return",0
"55398",2017-04-11,2017-03-20,"Stray","return",0
"55399",2017-04-02,2017-03-20,"Stray","return",0
"55401",2017-06-29,2017-04-18,"Stray","return",0
"55419",2017-04-21,2017-04-07,"Stray","return",0
"55419",2017-06-01,2017-04-25,"Stray","return",0
"55420",2017-04-21,2017-04-07,"Stray","return",0
"55420",2017-06-01,2017-04-25,"Stray","return",0
"55421",2017-04-21,2017-04-07,"Stray","return",0
"55421",2017-06-01,2017-04-25,"Stray","return",0
"55421",2017-07-08,2017-06-02,"Transfer from Other Shelter","return",0
"55422",2017-04-21,2017-04-07,"Stray","return",0
"55422",2017-06-06,2017-04-25,"Stray","return",0
"55423",2017-04-21,2017-04-07,"Stray","return",0
"55423",2017-06-06,2017-04-25,"Stray","return",0
"55439",2017-07-23,2017-06-09,"Stray","return",0
"55439",2017-09-06,2017-08-17,"Stray","return",0
"55448",2017-05-02,2017-04-11,"Stray","return",0
"55449",2017-05-02,2017-04-11,"Stray","return",0
"55450",2017-05-02,2017-04-11,"Stray","return",0
"55451",2017-05-02,2017-04-11,"Stray","return",0
"55452",2017-05-02,2017-04-11,"Stray","return",0
"55456",2017-05-10,2017-04-20,"Incompatible with owner lifestyle","return",0
"55456",2018-11-27,2017-05-12,"Owner Deceased","return",0
"55456",2019-02-19,2018-12-13,"Return Adopt - Behavior","return",0
"55456",2019-03-21,2019-03-15,"Return adopt - lifestyle issue","return",0
"55456",2019-04-13,2019-04-02,"Stray","return",0
"55456",2019-04-17,2019-04-16,"Stray","return",0
"55456",2019-04-30,2019-04-17,"Stray","return",0
"55456",2019-04-30,2019-04-30,"Return Adopt - Behavior","return",0
"55456",2019-05-17,2019-05-04,"Stray","return",0
"55458",2017-08-26,2017-05-05,"Sick/Injured","return",0
"55475",2019-07-03,2017-06-02,"Landlord issues","return",0
"55485",2018-02-02,2017-04-12,"Stray","return",0
"55495",2017-05-05,2017-04-17,"Stray","return",0
"55496",2017-05-05,2017-04-17,"Stray","return",0
"55497",2017-05-05,2017-04-17,"Stray","return",0
"55498",2017-05-06,2017-04-17,"Stray","return",0
"55499",2017-05-06,2017-04-17,"Stray","return",0
"55504",2017-07-01,2017-06-12,"Stray","return",0
"55511",2017-11-11,2017-04-22,"Incompatible with owner lifestyle","return",0
"55517",2017-05-10,2017-04-22,"Stray","return",0
"55518",2017-05-10,2017-04-22,"Stray","return",0
"55519",2017-05-10,2017-04-22,"Stray","return",0
"55519",2017-05-27,2017-05-16,"Stray","return",0
"55521",2017-07-16,2017-07-13,"Stray","return",0
"55525",2017-05-20,2017-04-18,"Stray","return",0
"55536",2017-08-26,2017-04-28,"Biting","return",0
"55536",2017-09-05,2017-09-05,"Biting","return",0
"55549",2017-06-11,2017-04-23,"Stray","return",0
"55550",2017-05-10,2017-05-06,"Stray","return",0
"55553",2017-05-16,2017-04-23,"Incompatible with owner lifestyle","return",0
"55555",2017-05-19,2017-04-26,"Stray","return",0
"55557",2017-12-19,2017-04-26,"Landlord issues","return",0
"55561",2017-05-31,2017-05-13,"Stray","return",0
"55561",2017-06-07,2017-06-02,"Incompatible with owner lifestyle","return",0
"55563",2017-05-31,2017-05-13,"Stray","return",0
"55564",2017-05-31,2017-05-13,"Stray","return",0
"55567",2017-08-24,2017-05-13,"Incompatible with owner lifestyle","return",0
"55571",2017-05-18,2017-04-21,"Stray","return",0
"55571",2017-07-07,2017-05-19,"Stray","return",0
"55572",2017-05-23,2017-04-25,"Stray","return",0
"55573",2017-05-18,2017-04-21,"Stray","return",0
"55573",2017-07-07,2017-05-19,"Stray","return",0
"55574",2017-05-18,2017-04-21,"Stray","return",0
"55574",2017-07-07,2017-05-19,"Stray","return",0
"55575",2017-06-27,2017-04-27,"Stray","return",0
"55576",2017-05-23,2017-04-25,"Stray","return",0
"55577",2017-06-17,2017-04-27,"Stray","return",0
"55578",2017-06-14,2017-04-27,"Stray","return",0
"55579",2017-05-18,2017-04-21,"Stray","return",0
"55579",2017-07-07,2017-05-19,"Stray","return",0
"55580",2017-05-18,2017-04-21,"Stray","return",0
"55580",2017-07-07,2017-05-19,"Stray","return",0
"55581",2017-05-23,2017-04-25,"Stray","return",0
"55582",2017-06-27,2017-04-27,"Stray","return",0
"55583",2017-06-07,2017-04-27,"Stray","return",0
"55583",2017-06-18,2017-06-09,"Stray","return",0
"55583",2017-06-17,2017-06-16,"Stray","return",0
"55583",2017-06-17,2017-06-17,"Stray","return",0
"55584",2017-05-18,2017-04-21,"Stray","return",0
"55584",2017-07-07,2017-05-19,"Stray","return",0
"55585",2017-06-07,2017-05-15,"Stray","return",0
"55585",2017-06-17,2017-06-09,"Stray","return",0
"55586",2017-05-23,2017-04-25,"Stray","return",0
"55587",2017-06-20,2017-06-14,"Stray","return",0
"55591",2017-06-20,2017-04-23,"Stray","return",0
"55592",2017-06-20,2017-04-23,"Stray","return",0
"55600",2017-05-10,2017-05-05,"Allergies","return",0
"55619",2017-07-07,2017-06-26,"Incompatible with owner lifestyle","return",0
"55625",2017-10-28,2017-04-24,"Stray","return",0
"55639",2017-04-27,2017-04-27,"Owner requested Euthanasia","return",0
"55640",2017-07-31,2017-05-04,"Stray","return",0
"55640",2017-08-06,2017-08-04,"Stray","return",0
"55644",2017-06-19,2017-06-19,"Rabies Monitoring","return",0
"55647",2019-06-04,2017-05-19,"Stray","return",0
"55658",2017-06-04,2017-03-26,"Stray","return",0
"55659",2017-06-04,2017-03-26,"Stray","return",0
"55660",2017-06-04,2017-03-26,"Stray","return",0
"55661",2017-06-04,2017-03-26,"Stray","return",0
"55662",2017-06-04,2017-03-26,"Stray","return",0
"55663",2017-05-15,2017-04-27,"Stray","return",0
"55669",2017-05-25,2017-05-11,"Stray","return",0
"55673",2017-11-18,2017-05-21,"Stray","return",0
"55688",2017-06-24,2017-05-20,"Stray","return",0
"55696",2017-06-05,2017-05-13,"Incompatible with owner lifestyle","return",0
"55701",2017-05-10,2017-05-02,"Stray","return",0
"55704",2017-05-10,2017-05-02,"Stray","return",0
"55707",2018-01-30,2017-05-12,"Stray","return",0
"55709",2017-12-08,2017-05-03,"Stray","return",0
"55724",2017-07-29,2017-05-27,"Stray","return",0
"55727",2017-05-06,2017-05-06,"Incompatible with owner lifestyle","return",0
"55733",2017-06-16,2017-05-27,"Stray","return",0
"55742",2017-05-15,2017-05-09,"Stray","return",0
"55742",2017-06-03,2017-05-20,"Stray","return",0
"55743",2017-05-15,2017-05-09,"Stray","return",0
"55743",2017-06-03,2017-05-20,"Stray","return",0
"55749",2017-05-18,2017-05-09,"Stray","return",0
"55750",2017-06-02,2017-05-25,"Stray","return",0
"55751",2017-08-31,2017-05-18,"Incompatible with owner lifestyle","return",0
"55753",2017-06-16,2017-05-10,"Stray","return",0
"55754",2017-06-16,2017-05-10,"Stray","return",0
"55755",2017-06-16,2017-05-10,"Stray","return",0
"55755",2019-08-06,2017-06-16,"Moving","return",0
"55756",2017-06-16,2017-05-10,"Stray","return",0
"55759",2018-04-07,2017-05-17,"Moving","return",0
"55759",2019-09-27,2018-04-24,"Stray","return",0
"55765",2018-09-21,2017-05-20,"Incompatible with owner lifestyle","return",0
"55769",2017-07-10,2017-06-04,"Stray","return",0
"55770",2017-06-20,2017-06-04,"Stray","return",0
"55771",2017-06-20,2017-06-04,"Stray","return",0
"55772",2017-06-15,2017-06-10,"Stray","return",0
"55772",2018-02-23,2017-06-30,"Stray","return",0
"55772",2019-07-29,2018-03-07,"Stray","return",0
"55774",2017-06-12,2017-05-11,"Stray","return",0
"55775",2017-07-13,2017-05-11,"Stray","return",0
"55776",2017-06-28,2017-05-11,"Stray","return",0
"55778",2017-06-16,2017-05-13,"Stray","return",0
"55780",2017-05-18,2017-05-11,"Stray","return",0
"55780",2019-06-29,2017-05-19,"Stray","return",0
"55780",2019-07-01,2019-07-01,"Incompatible with owner lifestyle","return",0
"55780",2019-07-13,2019-07-06,"Return Adopt - Behavior","return",0
"55781",2017-05-18,2017-05-11,"Stray","return",0
"55781",2019-06-29,2017-05-19,"Stray","return",0
"55781",2019-07-01,2019-07-01,"Incompatible with owner lifestyle","return",0
"55781",2019-07-13,2019-07-06,"Return Adopt - Behavior","return",0
"55782",2017-06-16,2017-05-13,"Stray","return",0
"55783",2017-06-16,2017-05-13,"Stray","return",0
"55783",2017-07-22,2017-06-16,"Allergies","return",0
"55784",2017-06-11,2017-05-12,"Stray","return",0
"55785",2017-06-11,2017-05-12,"Stray","return",0
"55786",2017-06-11,2017-05-12,"Stray","return",0
"55787",2019-05-29,2017-06-02,"Moving","return",0
"55787",2019-06-01,2019-05-29,"Stray","return",0
"55787",2019-06-15,2019-06-04,"Stray","return",0
"55789",2017-12-05,2017-05-17,"Stray","return",0
"55791",2019-07-31,2017-07-11,"Behavioral Issues","return",0
"55797",2017-05-31,2017-05-19,"Stray","return",0
"55800",2017-05-31,2017-05-22,"Incompatible with owner lifestyle","return",0
"55800",2019-04-22,2017-06-04,"Stray","return",0
"55811",2017-12-05,2017-05-14,"Stray","return",0
"55816",2017-07-26,2017-05-19,"Stray","return",0
"55817",2017-06-15,2017-05-16,"Stray","return",0
"55819",2017-06-01,2017-05-15,"Stray","return",0
"55820",2017-06-01,2017-05-15,"Stray","return",0
"55823",2017-06-19,2017-05-19,"Stray","return",0
"55824",2017-06-19,2017-05-19,"Stray","return",0
"55825",2017-06-19,2017-05-19,"Stray","return",0
"55827",2017-08-25,2017-05-16,"Stray","return",0
"55830",2017-06-23,2017-05-26,"Incompatible with owner lifestyle","return",0
"55836",2017-05-20,2017-05-20,"Stray","return",0
"55844",2017-08-10,2017-05-27,"Biting","return",0
"55850",2017-06-12,2017-05-23,"Stray","return",0
"55865",2018-04-13,2017-05-20,"Stray","return",0
"55869",2017-06-20,2017-05-26,"Stray","return",0
"55875",2017-08-20,2017-06-19,"Incompatible with owner lifestyle","return",0
"55880",2017-06-12,2017-05-23,"Stray","return",0
"55881",2017-06-12,2017-05-23,"Stray","return",0
"55882",2017-06-12,2017-05-23,"Stray","return",0
"55889",2017-10-16,2017-05-25,"Stray","return",0
"55889",2017-12-08,2017-11-21,"Stray","return",0
"55908",2017-06-04,2017-05-31,"Stray","return",0
"55909",2017-06-01,2017-05-31,"Stray","return",0
"55910",2017-07-05,2017-05-31,"Stray","return",0
"55911",2017-07-05,2017-05-31,"Stray","return",0
"55912",2017-08-19,2017-05-31,"Stray","return",0
"55914",2017-07-13,2017-06-10,"Stray","return",0
"55914",2017-07-29,2017-07-27,"Incompatible with owner lifestyle","return",0
"55915",2017-07-21,2017-05-19,"Stray","return",0
"55916",2017-07-28,2017-05-19,"Stray","return",0
"55917",2017-07-25,2017-05-19,"Stray","return",0
"55917",2017-08-12,2017-07-25,"Owner requested Euthanasia","return",0
"55918",2017-07-28,2017-05-19,"Stray","return",0
"55923",2017-06-12,2017-05-27,"Stray","return",0
"55924",2018-07-26,2017-08-07,"Unsuitable Accommodation","return",0
"55930",2017-06-02,2017-05-27,"Stray","return",0
"55930",2017-06-09,2017-06-03,"Stray","return",0
"55930",2017-06-11,2017-06-10,"Stray","return",0
"55932",2017-05-30,2017-05-26,"Stray","return",0
"55935",2017-06-20,2017-05-26,"Stray","return",0
"55936",2017-06-20,2017-05-26,"Stray","return",0
"55937",2017-06-08,2017-06-02,"Incompatible with owner lifestyle","return",0
"55946",2017-05-30,2017-05-30,"Incompatible with owner lifestyle","return",0
"55946",2017-09-24,2017-06-02,"Incompatible with owner lifestyle","return",0
"55951",2017-07-06,2017-06-01,"Stray","return",0
"55952",2017-07-06,2017-06-01,"Stray","return",0
"55953",2017-07-06,2017-06-01,"Stray","return",0
