"id","sheltercode","identichipnumber","animalname","animalage","sexname","speciesname","breedname","basecolour","intakeage","interactions","timeinsys","transferin","transferout","adopt","adopt_ct","foster","foster_ct","reclaim","reclaim_ct","return","return_ct","dead","intakedate"
"47146","D17011163","981020021063793","Dinah","3 years 10 months.","Female","Dog","Labrador Retriever/Affenpinscher","Black",46,4,1129,0,0,1,1,1,1,0,0,1,1,0,2017-01-17
"47156","R17011173","","Maxwell","3 years 10 months.","Male","House Rabbit","American","Black",46,6,115,0,0,1,1,1,2,0,0,1,2,0,2017-01-17
"47157","R17011174","","Hammer","3 years 10 months.","Male","House Rabbit","American","Black",46,4,115,0,0,1,1,1,1,0,0,1,1,0,2017-01-17
"47198","C17011213","981020021020775","Mama Mia","3 years 3 months.","Female","Cat","Domestic Short Hair","Grey and White",39,4,151,0,0,1,1,1,1,0,0,1,1,0,2017-01-22
"47239","D17011254","981020021070452","Maria","1 year 10 months.","Female","Dog","","Brown and Black",22,2,64,0,0,1,1,0,0,0,0,0,0,0,2017-01-27
"47248","C17011263","981020021068759","Mr. T","9 years 11 months.","Male","Cat","DMH/DSH","Black",119,4,1119,0,0,1,1,1,1,0,0,1,1,0,2017-01-27
"47277","C17011292","981020021046006","Coraline","3 years 10 months.","Female","Cat","Domestic Short Hair","Brown and Black",46,2,64,0,0,1,1,0,0,0,0,0,0,0,2017-01-31
"47290","C17021304","981020021057911","Montana","3 years 4 months.","Female","Cat","Domestic Short Hair","Torbie",40,4,141,0,0,1,1,1,1,0,0,1,1,0,2017-02-01
"47319","D17021329","","Louise Vada","3 years 2 months.","Female","Dog","Pitbull","Black",38,2,59,0,0,0,0,0,0,1,1,0,0,0,2017-02-05
"47360","C17021370","981020021060759","Calli","16 years 3 months.","Female","Cat","DSH/Unknown","Various",195,8,122,0,0,0,0,1,3,0,0,1,3,1,2017-02-11
"47395","C17021405","981020021035687","Gooseberry","13 years 9 months.","Female","Cat","Domestic Short Hair","Tortie",165,2,57,0,0,1,1,0,0,0,0,0,0,0,2017-02-13
"47402","D17021412","981020021039948","Precious","4 years 9 months.","Female","Dog","Shep Mix/Mix","Ruddy",57,6,80,0,0,1,1,1,2,0,0,1,2,0,2017-02-14
"47414","D17021424","981020021060979","Beemo","6 years 10 months.","Male","Dog","Pitbull/Mix","Blue",82,6,79,0,0,1,1,0,0,1,2,1,2,0,2017-02-16
"47429","C17021438","981020021046343","Ellen","11 years 9 months.","Female","Cat","British Shorthair/Unknown","Grey",141,4,1097,0,0,1,1,1,1,0,0,1,1,0,2017-02-18
"47432","R17021441","","Fitzgerald","3 years 9 months.","Male","House Rabbit","American","Black",45,4,72,0,0,1,1,1,1,0,0,1,1,0,2017-02-18
"47502","D17021511","981020015101070","Zoey","2 years 8 months.","Female","Dog","Pitbull/Mix","Grey and White",32,4,67,0,0,1,2,0,0,0,0,1,1,0,2017-02-27
"47510","C17021519","981020021059390","Maureen","2 years 8 months.","Female","Cat","Domestic Short Hair","Brown and Black",32,2,33,0,0,1,1,0,0,0,0,0,0,0,2017-02-28
"47511","C17021520","981020021064555","Janet","4 years 2 months.","Female","Cat","DSH/Unknown","Grey",50,2,32,0,0,1,1,0,0,0,0,0,0,0,2017-02-28
"47520","C17031529","981020021039765","Ruce","3 years 10 months.","Male","Cat","DSH/Unknown","Black and White",46,2,33,0,0,1,1,0,0,0,0,0,0,0,2017-03-02
"47521","C17031530","981020021063627","Ramsay","3 years 10 months.","Male","Cat","DSH/Unknown","Orange and White",46,2,36,0,0,1,1,0,0,0,0,0,0,0,2017-03-02
"47538","D17031547","981020021050526","Gus","2 years 10 months.","Male","Dog","Labrador Retriever/Coonhound","Chocolate",34,2,30,0,0,1,1,0,0,0,0,0,0,0,2017-03-04
"47539","C17031548","981020021038500","Zack Attack","4 years 9 months.","Male","Cat","DSH/Unknown","Grey and White",57,2,28,0,0,1,1,0,0,0,0,0,0,0,2017-03-04
"47540","C17031549","981020021071498","Buggs","1 year 11 months.","Male","Cat","DSH/Unknown","Black",23,2,28,0,0,1,1,0,0,0,0,0,0,0,2017-03-04
"47558","D17031567","981020021074652","Clyde","6 years 2 months.","Male","Dog","Golden Retriever/Poodle, Standard","Golden",74,4,31,0,0,1,2,0,0,0,0,1,1,0,2017-03-06
"47562","C17031571","981020021050917","Garden","6 years 8 months.","Male","Cat","DSH/Unknown","White",80,2,25,0,0,1,1,0,0,0,0,0,0,0,2017-03-06
"47575","D17031584","982000407818195","Bella Boo!","4 years 4 months.","Female","Dog","Mastiff","Brindle",52,12,83,0,0,1,4,1,2,0,0,1,5,0,2017-03-07
"47576","D17031585","981020021070950","Patty","3 years 5 months.","Female","Dog","Pitbull","Tan",41,2,90,0,0,1,1,0,0,0,0,0,0,0,2017-03-07
"47582","D17031591","981020013554158","Dibs","2 years 10 months.","Male","Dog","Pitbull/Mix","White",34,2,49,0,0,1,1,0,0,0,0,0,0,0,2017-03-07
"47591","D17031600","981020021857251","Serafina","6 years 9 months.","Female","Dog","Papillon","White",81,4,1078,0,0,1,1,1,1,0,0,1,1,0,2017-03-09
"47595","C17031604","981020021043067","Zips","8 years 8 months.","Female","Cat","Domestic Short Hair","Black and White",104,2,99,0,0,1,1,0,0,0,0,0,0,0,2017-03-09
"47613","D17031620","981020021074093","Waylon","4 years 8 months.","Male","Dog","Beagle","Tricolour",56,6,24,0,0,1,2,0,0,1,1,1,2,0,2017-03-10
"47617","C17031624","981020021055166","Jesse","5 years 8 months.","Female","Cat","DSH/Unknown","Grey and White",68,2,28,0,0,1,1,0,0,0,0,0,0,0,2017-03-10
"47627","C17031634","981020021823219","Binks","1 year 9 months.","Male","Cat","DSH/Unknown","Buff",21,4,64,0,0,1,1,1,1,0,0,1,1,0,2017-03-11
"47628","C17031635","981020021850559","Bobbin","1 year 9 months.","Male","Cat","DSH/Unknown","Fawn",21,4,68,0,0,1,1,1,1,0,0,1,1,0,2017-03-11
"47629","C17031636","981020021848969","Binkie","1 year 9 months.","Male","Cat","DSH/Unknown","Buff",21,4,68,0,0,1,1,1,1,0,0,1,1,0,2017-03-11
"47630","C17031637","981020021811770","Stan","1 year 9 months.","Male","Cat","DSH/Unknown","Orange",21,8,1076,0,0,1,1,1,3,0,0,1,3,0,2017-03-11
"47631","C17031638","981020021814036","Boomer","1 year 9 months.","Male","Cat","DLH/Unknown","Orange",21,6,61,0,0,1,1,1,2,0,0,1,2,0,2017-03-11
"47632","C17031639","981020021818036","Evan","1 year 9 months.","Male","Cat","DSH/Unknown","Brown",21,6,61,0,0,1,1,1,2,0,0,1,2,0,2017-03-11
"47633","C17031640","981020021837935","Beaux","1 year 9 months.","Female","Cat","DSH/Unknown","Brown and Black",21,4,66,0,0,1,1,1,1,0,0,1,1,0,2017-03-11
"47634","C17031641","981020021818926","Dusty","1 year 8 months.","Female","Cat","Domestic Short Hair","Seal",20,4,54,0,0,1,1,1,1,0,0,1,1,0,2017-03-11
"47635","C17031642","981020021805083","Ed","1 year 8 months.","Male","Cat","Domestic Short Hair","Black and White",20,4,57,0,0,1,1,1,1,0,0,1,1,0,2017-03-11
"47636","C17031643","981020021824312","Tux","1 year 8 months.","Male","Cat","Domestic Short Hair","Black and White",20,4,54,0,0,1,1,1,1,0,0,1,1,0,2017-03-11
"47637","C17031644","981020021814469","Trouble","1 year 8 months.","Male","Cat","Domestic Short Hair","White",20,4,57,0,0,1,1,1,1,0,0,1,1,0,2017-03-11
"47638","C17031645","981020021800503","Samantha","4 years 8 months.","Female","Cat","Domestic Short Hair","Black and White",56,4,56,0,0,1,1,1,1,0,0,1,1,0,2017-03-11
"47639","D17031646","981020021053332","Apollo","3 years 7 months.","Male","Dog","Labrador Retriever/Collie","Black",43,10,324,0,0,1,4,1,1,0,0,1,4,0,2017-03-11
"47654","R17031661","","Hops","2 years 8 months.","Female","House Rabbit","American Sable/American","Black",32,2,21,0,0,1,1,0,0,0,0,0,0,0,2017-03-14
"47659","C17031666","981020021056387","Earl","2 years 4 months.","Male","Cat","Domestic Medium Hair","White",28,2,24,0,0,1,1,0,0,0,0,0,0,0,2017-03-14
"47661","C17031668","981020021050458","Conner","3 years 8 months.","Male","Cat","Domestic Short Hair","Black",44,2,42,0,0,1,1,0,0,0,0,0,0,0,2017-03-15
"47662","D17031669","981020021056520","Carol","6 years 11 months.","Female","Dog","Shep Mix/Great Dane","Black and Brown",83,2,17,0,0,1,1,0,0,0,0,0,0,0,2017-03-15
"47665","D17031672","982000406743590","Jynx","5 years 4 months.","Female","Dog","Bully Breed Mix/Mix","Black",64,4,83,0,0,1,2,0,0,0,0,1,1,0,2017-03-15
"47681","D17031688","","Sisqo`","3 years 11 months.","Male","Dog","Siberian Husky/Affenpinscher","Black and White",47,2,25,0,1,0,0,0,0,0,0,0,0,0,2017-03-18
"47683","D17031690","981020021048400","Larry","3 years 11 months.","Male","Dog","Hound/German Shorthaired Pointer","Red",47,2,25,0,0,1,1,0,0,0,0,0,0,0,2017-03-18
"47684","C17031691","981020021073679","Gabby (Sage)","16 years 8 months.","Female","Cat","Domestic Short Hair","Grey",200,6,1069,0,0,1,1,1,2,0,0,1,2,0,2017-03-18
"47685","C17031692","981020021056756","Suzette","18 years 2 months.","Female","Cat","Domestic Short Hair","Tortie",218,4,30,0,1,1,1,0,0,0,0,1,1,0,2017-03-18
"47688","C17031695","981020021793437","Beyonce","2 years 10 months.","Female","Cat","Domestic Short Hair","Grey and White",34,4,39,0,0,1,1,1,1,0,0,1,1,0,2017-03-18
"47695","D17031702","981020021052890","Earnest","2 years 3 months.","Male","Dog","Labrador Retriever/German Shepherd Dog","Black",27,2,11,0,0,1,1,0,0,0,0,0,0,0,2017-03-20
