"id","intakedate","movementdate","movementtype"
"47702",2017-03-21,2017-04-08,"Adoption"
"47703",2017-03-21,2017-04-08,"Foster"
"47703",2017-03-21,2017-05-03,"Adoption"
"47704",2017-03-21,2017-04-12,"Adoption"
"47707",2017-03-22,2017-04-06,"Foster"
"47707",2017-03-22,2017-05-16,"Adoption"
"47708",2017-03-22,2017-04-06,"Foster"
"47708",2017-03-22,2017-05-23,"Adoption"
"47710",2017-03-22,2017-04-02,"Reclaimed"
"47712",2017-03-23,2017-03-31,"Adoption"
"47712",2017-03-23,2017-08-19,"Adoption"
"47712",2017-03-23,2018-03-30,"Reclaimed"
"47714",2017-03-23,2017-05-20,"Adoption"
"47715",2017-03-23,2017-05-11,"Foster"
"47715",2017-03-23,2017-07-09,"Adoption"
"47717",2017-03-23,2017-06-07,"Adoption"
"47717",2017-03-23,2018-01-30,"Adoption"
"47718",2017-03-23,2017-05-07,"Adoption"
"47718",2017-03-23,2017-09-15,"Adoption"
"47721",2017-03-24,2017-04-05,"Adoption"
"47721",2017-03-24,2017-06-29,"Adoption"
"47724",2017-03-24,2017-04-04,"Foster"
"47724",2017-03-24,2017-04-06,"Adoption"
"47724",2017-03-24,2018-08-09,"Adoption"
"47725",2017-03-24,2017-04-01,"Transfer"
"47727",2017-03-24,2017-04-08,"Adoption"
"47727",2017-03-24,2017-11-15,"Adoption"
"47728",2017-03-24,2017-04-05,"Adoption"
"47730",2017-03-24,2017-04-07,"Adoption"
"47733",2017-03-24,2017-04-07,"Adoption"
"47735",2017-03-24,2017-04-12,"Transfer"
"47736",2017-03-24,2017-04-07,"Adoption"
"47737",2017-03-24,2017-04-12,"Transfer"
"47738",2017-03-25,2017-04-04,"Reclaimed"
"47740",2017-03-25,2017-04-22,"Adoption"
"47741",2017-03-25,2017-04-22,"Adoption"
"47742",2017-03-25,2017-04-17,"Adoption"
"47744",2017-03-25,2017-04-15,"Foster"
"47744",2017-03-25,2017-05-27,"Adoption"
"47747",2017-03-27,2017-03-29,"Foster"
"47747",2017-03-27,2017-05-13,"Adoption"
"47748",2017-03-27,2017-03-29,"Foster"
"47748",2017-03-27,2017-05-08,"Adoption"
"47749",2017-03-27,2017-04-22,"Foster"
"47749",2017-03-27,2017-05-14,"Adoption"
"47750",2017-03-27,2017-03-29,"Foster"
"47750",2017-03-27,2017-05-08,"Adoption"
"47751",2017-03-27,2017-03-29,"Foster"
"47751",2017-03-27,2017-04-22,"Foster"
"47751",2017-03-27,2017-05-09,"Adoption"
"47751",2017-03-27,2020-01-18,"Adoption"
"47752",2017-03-27,2017-03-29,"Foster"
"47752",2017-03-27,2017-04-22,"Foster"
"47752",2017-03-27,2017-05-16,"Adoption"
"47753",2017-03-27,2017-03-29,"Foster"
"47753",2017-03-27,2017-04-22,"Foster"
"47753",2017-03-27,2017-05-10,"Adoption"
"47753",2017-03-27,2018-07-23,"Adoption"
"47754",2017-03-27,2017-03-29,"Foster"
"47754",2017-03-27,2017-05-10,"Adoption"
"47755",2017-03-27,2017-03-29,"Foster"
"47755",2017-03-27,2017-04-22,"Foster"
"47755",2017-03-27,2017-05-12,"Adoption"
"47756",2017-03-27,2017-03-29,"Foster"
"47756",2017-03-27,2017-04-21,"Foster"
"47756",2017-03-27,2017-05-09,"Adoption"
"47757",2017-03-27,2017-03-29,"Foster"
"47757",2017-03-27,2017-05-09,"Adoption"
"47759",2017-03-27,2017-04-22,"Foster"
"47759",2017-03-27,2017-07-16,"Adoption"
"47760",2017-03-27,2017-04-02,"Adoption"
"47762",2017-03-27,2017-05-19,"Adoption"
"47763",2017-03-28,2017-04-08,"Adoption"
"47764",2017-03-28,2017-04-29,"Adoption"
"47765",2017-03-28,2017-04-19,"Transfer"
"47766",2017-03-28,2017-05-03,"Adoption"
"47766",2017-03-28,2017-05-25,"Adoption"
"47767",2017-03-28,2017-04-07,"Adoption"
"47768",2017-03-28,2017-04-02,"Adoption"
"47769",2017-03-28,2017-04-04,"Adoption"
"47770",2017-03-28,2017-04-04,"Adoption"
"47770",2017-03-28,2017-05-07,"Adoption"
"47771",2017-03-28,2017-04-01,"Adoption"
"47771",2017-03-28,2017-04-10,"Adoption"
"55297",2017-03-31,2017-04-07,"Adoption"
"55297",2017-03-31,2017-06-20,"Adoption"
"55297",2017-03-31,2017-08-13,"Adoption"
"55298",2017-03-31,2017-04-12,"Adoption"
"55299",2017-03-31,2017-04-07,"Foster"
"55299",2017-03-31,2017-04-25,"Foster"
"55299",2017-03-31,2017-07-07,"Adoption"
"55300",2017-03-31,2017-04-07,"Adoption"
"55301",2017-03-31,2017-04-07,"Adoption"
"55301",2017-03-31,2018-03-02,"Adoption"
"55301",2017-03-31,2019-01-08,"Adoption"
"55302",2017-03-29,2017-03-29,"Foster"
"55302",2017-03-29,2017-04-15,"Foster"
"55302",2017-03-29,2017-04-22,"Foster"
"55302",2017-03-29,2017-04-28,"Adoption"
"55303",2017-03-31,2017-04-27,"Foster"
"55303",2017-03-31,2017-07-14,"Adoption"
"55304",2017-03-29,2017-03-29,"Foster"
"55304",2017-03-29,2017-04-15,"Foster"
"55304",2017-03-29,2017-04-22,"Foster"
"55304",2017-03-29,2017-04-28,"Adoption"
"55305",2017-03-29,2017-03-29,"Foster"
"55305",2017-03-29,2017-04-15,"Foster"
"55305",2017-03-29,2017-04-22,"Foster"
"55305",2017-03-29,2017-04-28,"Adoption"
"55307",2017-03-29,2017-03-29,"Foster"
"55307",2017-03-29,2017-04-15,"Foster"
"55307",2017-03-29,2017-04-22,"Foster"
"55307",2017-03-29,2017-04-28,"Adoption"
"55308",2017-03-31,2017-04-01,"Reclaimed"
"55309",2017-03-31,2017-04-01,"Transfer"
"55310",2017-03-31,2017-04-01,"Transfer"
"55311",2017-03-31,2017-04-01,"Transfer"
"55312",2017-03-31,2017-04-01,"Transfer"
"55313",2017-03-31,2017-03-31,"Adoption"
"55314",2017-03-31,2017-04-09,"Adoption"
"55315",2017-03-31,2017-04-01,"Transfer"
"55316",2017-03-31,2017-04-01,"Transfer"
"55317",2017-03-31,2017-04-01,"Transfer"
"55318",2017-03-31,2017-04-01,"Transfer"
"55319",2017-03-31,2017-04-01,"Transfer"
"55320",2017-03-31,2017-04-01,"Transfer"
"55321",2017-03-31,2017-04-01,"Transfer"
"55322",2017-03-30,2017-04-10,"Adoption"
"55322",2017-03-30,2018-03-25,"Adoption"
"55323",2017-03-30,2017-04-12,"Adoption"
"55324",2017-03-31,2017-04-01,"Transfer"
"55325",2017-03-31,2017-04-01,"Transfer"
"55326",2017-03-31,2017-04-01,"Transfer"
"55327",2017-03-31,2017-04-01,"Transfer"
"55328",2017-03-31,2017-04-01,"Transfer"
"55329",2017-03-31,2017-04-01,"Transfer"
"55330",2017-03-31,2017-04-01,"Transfer"
"55331",2017-03-31,2017-04-01,"Transfer"
"55332",2017-03-31,2017-04-01,"Transfer"
"55333",2017-03-31,2017-04-01,"Transfer"
"55334",2017-03-29,2017-04-09,"Adoption"
"55335",2017-03-31,2017-04-06,"Foster"
"55335",2017-03-31,2017-04-25,"Adoption"
"55336",2017-03-31,2017-04-13,"Adoption"
"55336",2017-03-31,2018-04-14,"Adoption"
"55337",2017-03-29,2017-04-09,"Adoption"
"55338",2017-03-31,2017-04-06,"Adoption"
"55338",2017-03-31,2017-10-21,"Adoption"
"55339",2017-03-31,2017-04-06,"Adoption"
"55340",2017-04-01,2017-04-01,"Transfer"
"55341",2017-04-01,2017-04-01,"Transfer"
"55342",2017-04-01,2017-04-01,"Adoption"
"55343",2017-04-01,2017-04-01,"Adoption"
"55344",2017-04-01,2017-04-01,"Adoption"
"55345",2017-04-01,2017-04-01,"Transfer"
"55346",2017-04-01,2017-04-01,"Transfer"
"55347",2017-04-01,2017-04-01,"Transfer"
"55348",2017-04-01,2017-04-01,"Transfer"
"55349",2017-04-01,2017-04-01,"Transfer"
"55350",2017-04-01,2017-04-29,"Transfer"
"55351",2017-04-01,2017-04-03,"Reclaimed"
"55351",2017-04-01,2017-04-07,"Adoption"
"55352",2017-04-01,2017-04-07,"Adoption"
"55354",2017-04-01,2017-04-28,"Adoption"
"55355",2017-04-02,2017-04-03,"Transfer"
"55357",2017-04-02,2017-04-11,"Adoption"
"55357",2017-04-02,2017-06-27,"Adoption"
"55358",2017-04-02,2017-05-15,"Adoption"
"55359",2017-04-03,2017-04-28,"Transfer"
"55360",2017-04-03,2017-04-07,"Adoption"
"55361",2017-04-03,2017-04-18,"Adoption"
